SMILES,QED,SA,LogP,MolWt
COc1cc(COc2ccc(Cl)cc2)cc(-c2cc(C)no2)c1,0.6680989666687615,2.033757954792014,4.891020000000004,329.7830000000001
COC(=O)CCc1ccn(C(=O)NCCc2ccccc2Cl)c1,0.8258930246894541,2.3732796546306396,3.047500000000001,334.803
CC(C)C(C)CNC(=O)N1CCC(C(=O)N2CCCC2)CC1,0.8662800671128364,2.5921280674503784,2.3225,309.4540000000001
O=C1CCC(C(=O)NCCC(=O)NC2CC(CO)C2O)CC1,0.5076827781004473,3.4482182758224473,-0.8900999999999986,312.36600000000004
O=C(CCOc1cccc(F)c1)NC(=O)SC(CO)C(=O)O,0.6831386830007331,3.1123410434907317,1.0094999999999998,331.3210000000001
NCc1ccc(CCN(CO)C(=O)C(O)c2ccccc2)cc1,0.6702908508548493,2.6822991752541387,1.1997999999999993,314.385
CC1CN1c1ccc(C(=O)OCCc2ccccc2)c(F)c1,0.6254876089257904,2.645393233448722,3.4337000000000026,299.34499999999997
CCCCCCCC(=O)NCCCc1ccc(OC)c(O)c1,0.6111698305651043,1.8736015209584682,3.810100000000003,307.434
CCc1ccc(O)c(OCCCC=NC(=O)NCC(C)=O)c1,0.5702708451874101,2.772145551386002,2.4830000000000005,306.362
CCCCC(O)=COCCCc1cnc(N)c2c1NCN2C,0.5056087297554112,3.527971248005616,3.0218000000000007,306.40999999999997
CC1N=C(SCCCC2CCN(CCN)CC2)N=C1C(=O)O,0.6910867596194007,3.613448016195445,1.4542,326.466
